x_value,total_1,total_2
0,1000,1000
1,1002,997
2,1008,992
3,1011,987
4,1012,985
5,1017,981
6,1011,982
7,1007,982
8,1015,978
9,1021,980
10,1015,977
11,1009,982
12,1006,978
13,1006,979
14,1010,982
15,1006,985
16,1010,990
17,1018,993
18,1015,989
19,1023,988
20,1018,994
21,1024,990
22,1019,992
23,1018,997
24,1021,992
25,1026,992
26,1021,988
27,1023,984
28,1022,987
29,1021,982
30,1024,978
31,1022,983
32,1029,989
33,1031,994
34,1029,994
35,1030,990
36,1028,985
37,1031,988
38,1025,993
39,1020,991
40,1016,992
41,1016,998
42,1016,994
43,1013,1000
44,1015,1005
45,1020,1008
46,1020,1010
47,1028,1010
48,1032,1012
49,1038,1013
50,1045,1015
51,1045,1021
52,1051,1022
53,1047,1021
54,1042,1020
55,1038,1015
56,1046,1016
57,1053,1020
58,1054,1024
59,1053,1022
60,1059,1026
61,1053,1026
62,1061,1022
63,1068,1020
64,1076,1017
65,1070,1012
66,1068,1009
67,1070,1014
68,1074,1011
69,1081,1016
70,1077,1020
71,1080,1024
72,1084,1025
73,1087,1027
74,1087,1030
75,1081,1036
76,1082,1036
77,1083,1031
78,1087,1032
79,1087,1035
80,1089,1035
81,1089,1036
82,1087,1034
83,1091,1040
84,1087,1036
85,1091,1038
86,1085,1038
87,1090,1038
88,1087,1036
89,1088,1040
90,1093,1043
91,1094,1039
92,1093,1038
93,1099,1037
94,1101,1033
95,1105,1039
96,1113,1038
97,1111,1034
98,1111,1033
99,1105,1032
100,1107,1035
101,1105,1040
102,1103,1044
103,1111,1046
104,1107,1041
105,1112,1046
106,1108,1043
107,1108,1042
108,1109,1038
109,1105,1039
110,1108,1043
111,1102,1046
112,1103,1042
113,1102,1046
114,1109,1041
115,1104,1036
116,1105,1038
117,1111,1033
118,1108,1038
119,1113,1043
120,1119,1049
121,1115,1052
122,1116,1052
123,1120,1050
124,1118,1048
125,1121,1044
126,1128,1050
127,1122,1050
128,1120,1051
129,1116,1048
130,1122,1051
131,1127,1047
132,1129,1048
133,1125,1047
134,1125,1046
135,1131,1042
136,1138,1039
137,1137,1038
138,1138,1043
139,1145,1039
140,1153,1043
141,1148,1048
142,1145,1049
143,1142,1048
144,1148,1048
145,1151,1048
146,1155,1052
147,1154,1055
148,1150,1061
149,1158,1061
150,1163,1066
151,1170,1061
152,1174,1060
153,1180,1056
154,1183,1055
155,1180,1060
156,1176,1063
157,1171,1065
158,1177,1062
159,1183,1057
160,1183,1053
161,1186,1057
162,1187,1052
163,1192,1056
164,1193,1057
165,1201,1063
166,1208,1060
167,1203,1061
168,1199,1065
169,1205,1063
170,1209,1066
171,1206,1066
172,1214,1061
173,1215,1062
174,1220,1061
175,1216,1067
176,1210,1072
177,1204,1076
178,1208,1080
179,1211,1082
180,1216,1087
181,1222,1090
182,1225,1095
183,1226,1096
184,1228,1094
185,1225,1094
186,1232,1090
187,1226,1087
188,1227,1087
189,1226,1088
190,1227,1093
191,1234,1094
192,1229,1097
193,1225,1096
194,1224,1096
195,1232,1091
196,1235,1094
197,1231,1096
198,1226,1098
199,1228,1102
200,1225,1099
201,1220,1097
202,1227,1092
203,1224,1092
204,1225,1098
205,1230,1095
206,1234,1090
207,1234,1092
208,1228,1087
209,1224,1088
210,1229,1093
211,1230,1099
212,1231,1096
213,1239,1102
214,1241,1103
215,1249,1106
216,1257,1107
217,1262,1103
218,1267,1104
219,1262,1104
220,1264,1101
221,1258,1107
222,1256,1104
223,1262,1108
224,1266,1108
225,1266,1113
226,1269,1119
227,1276,1124
228,1281,1123
229,1285,1118
230,1283,1122
231,1282,1120
232,1289,1117
233,1290,1116
234,1296,1113
235,1304,1118
236,1301,1114
237,1301,1116
238,1297,1117
239,1305,1123
240,1299,1129
241,1301,1132
242,1298,1138
243,1295,1144
244,1295,1143
245,1301,1142
246,1298,1146
247,1292,1143
248,1295,1147
249,1290,1145
250,1289,1146
251,1284,1145
252,1280,1150
253,1283,1145
254,1284,1142
255,1279,1144
256,1282,1142
257,1280,1147
258,1280,1146
259,1282,1142
260,1276,1137
261,1283,1140
262,1280,1137
263,1287,1143
264,1282,1140
265,1288,1135
266,1283,1135
267,1286,1140
268,1291,1136
269,1290,1140
270,1293,1135
271,1294,1141
272,1291,1138
273,1290,1141
274,1285,1141
275,1285,1138
276,1279,1138
277,1278,1137
278,1284,1133
279,1291,1128
280,1292,1132
281,1299,1137
282,1295,1132
283,1294,1130
284,1293,1136
285,1294,1136
286,1291,1140
287,1297,1142
288,1303,1148
289,1300,1145
290,1305,1147
291,1310,1146
292,1318,1148
293,1316,1151
294,1321,1154
295,1329,1149
296,1323,1145
297,1331,1147
298,1337,1148
299,1335,1153
300,1342,1155
301,1346,1152
302,1352,1154
303,1356,1153
304,1357,1158
305,1362,1164
306,1368,1162
307,1365,1164
308,1361,1162
309,1365,1162
310,1369,1164
311,1372,1160
312,1374,1158
313,1369,1161
314,1376,1164
315,1378,1163
316,1383,1166
317,1388,1161
318,1383,1156
319,1385,1152
320,1390,1147
321,1394,1150
322,1393,1149
323,1398,1144
324,1406,1144
325,1402,1140
326,1404,1145
327,1405,1147
328,1406,1147
329,1405,1152
330,1413,1153
331,1421,1148
332,1423,1148
333,1428,1152
334,1425,1148
335,1431,1149
336,1432,1154
337,1439,1149
338,1435,1148
339,1443,1148
340,1443,1152
341,1451,1152
342,1452,1152
343,1455,1150
344,1459,1153
345,1454,1156
346,1456,1161
347,1453,1162
348,1452,1158
349,1459,1159
350,1465,1163
351,1460,1166
352,1459,1166
353,1466,1167
354,1464,1168
355,1459,1170
356,1454,1169
357,1454,1169
358,1458,1171
359,1453,1171
360,1457,1176
361,1458,1179
362,1464,1184
363,1469,1183
364,1468,1178
365,1472,1181
366,1474,1184
367,1480,1184
368,1485,1186
369,1491,1184
370,1487,1181
371,1491,1177
372,1494,1174
373,1495,1175
374,1496,1173
375,1490,1173
376,1484,1170
377,1486,1176
378,1486,1179
379,1485,1177
380,1481,1183
381,1484,1189
382,1479,1188
383,1487,1193
384,1483,1199
385,1488,1204
386,1484,1209
387,1489,1214
388,1483,1213
389,1480,1216
390,1487,1212
391,1491,1209
392,1498,1204
393,1495,1209
394,1490,1206
395,1495,1211
396,1491,1214
397,1491,1220
398,1496,1224
399,1491,1223
400,1495,1226
401,1492,1225
402,1491,1230
403,1492,1225
404,1491,1220
405,1493,1223
406,1498,1224
407,1496,1224
408,1493,1225
409,1498,1227
410,1503,1226
411,1508,1222
412,1515,1224
413,1518,1221
414,1512,1227
